name,address,unit,group
Bento Sushi Bar - Food Take Out,44 Great Northern Rd Sault Ste Marie ON P6B 4Y5,algoma,treatment
Cafe Express - Food Take Out,52-44 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,algoma,treatment
Captain Tilley Park Snack Bar - Food Take Out,592 Hwy 552 W Goulais River ON P0S 1E0,algoma,treatment
Centennial Arena - Food Take Out,172 Central Ave Elliot Lake ON,algoma,treatment
Chicken Shack Motel - Food Take Out,12460 Hwy 17 N Pancake Bay ON P0S 1A0,algoma,treatment
Croatian Corner - Food Take Out,188 Bruce St Sault Ste. Marie ON P6A 2X9,algoma,treatment
Cuppa Cabana - Food Take Out,773 Great Northern Rd Sault Ste Marie ON P6A 5K7,algoma,treatment
David's Tea - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
Dee's Cafe Canteen - Food Take Out,105 West Street Sault Ste. Marie ON P6A 7B4,algoma,treatment
Domino's Pizza - Food Take Out,357 Trunk Road Sault Ste Marie ON,algoma,treatment
Domino's Pizza - Food Take Out,B-12 Second Line W Sault Ste. Marie ON P6C 2K8,algoma,treatment
Fireside Express Grill - Food Take Out,14-Oakland Boulevard Elliot Lake ON P5A 2T1,algoma,treatment
Freshly Squeezed - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
FRIES N MORE - Food Take Out,293 Chemin du Lac Dubreuilville ON P0S 1B0,algoma,treatment
GFL Memorial Gardens Concession Stands - Food Take Out,269 Queen St E Sault Ste. Marie ON P6A 1Y9,algoma,treatment
Great Canadian Chip Truck - Food Take Out,22171 Hwy 17 Iron Bridge ON P0R,algoma,treatment
Gus's Pizza - Food Take Out,146 Queen St E Sault Ste. Marie ON P6A 1Y5,algoma,treatment
Ije's Place - Food Take Out,1 Cameron Drive Desbarats ON P0R1E0,algoma,treatment
Iron Bridge Recreation Centre Canteen - Food Take Out,1 Chiblow Lake Rd Iron Bridge ON P0R 1H0,algoma,treatment
John Rhodes Community Centre Canteen - Pool - Food Take Out,260 Elizabeth St Sault Ste. Marie ON P6A 3Z4,algoma,treatment
JR'S Chuckwagon - Food Take Out,19 Causley St Blind River ON P0R 1B0,algoma,treatment
Juicy Jen's - Food Take Out,5-Ash Blind River ON P0R 1B0,algoma,treatment
Kensington Marina Ice Cream - Food Take Out,400-Kensington Rd Desbarats ON P0R 1E0,algoma,treatment
Krazy Ernie's - Food Take Out,256 McNabb St Sault Ste. Marie ON P6B 1Y6,algoma,treatment
Laura Secord - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
Little Caesars - Food Take Out,332 Great Northern Road Sault Ste Marie ON P6B 4Z7,algoma,treatment
Little Caesars Pizza - Food Take Out,275 Second Line W Sault Ste. Marie ON P6C 2J4,algoma,treatment
Little Caesars Pizza - Food Take Out,C2A-150 Churchill Blvd Sault Ste. Marie ON P6A 3C9,algoma,treatment
Little Rapids Ballpark Canteen - Food Take Out,34 Little Rapids Road Little Rapids ON P0R 1L0,algoma,treatment
Lucky's Snack Bar - Food Take Out,93 Front St Spanish ON P0P 2A0,algoma,treatment
Mad Mat's - Food Take Out,17B Woodward Blind River ON P0R 1B0,algoma,treatment
Mane Street Salon and Spa Cafe - Food Take Out,1-626 Queen Street E Sault Ste Marie ON P6A 2A4,algoma,treatment
McDonald's - Food Take Out,293 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
Metallo's Mini Mart - Food Take Out,147 Northern Ave Sault Ste. Marie ON P6B 4H8,algoma,treatment
Metro - Food Take Out,275 Second Line W Sault Ste. Marie ON P6C 2J4,algoma,treatment
Metro - Food Take Out,248 Northern Ave Sault Ste. Marie ON P6B 4H7,algoma,treatment
Minelli's Take Out - Food Take Out,701 Pine St Sault Ste. Marie ON P6B 3G2,algoma,treatment
Mountain Maple Products - Food Take Out,1300 P Line Road Richards Landing ON P0R 1J0,algoma,treatment
Mrs B's Westside - Food Take Out,B-459 Second Line W Sault Ste. Marie ON P6C 2K3,algoma,treatment
Mrs. B's - Food Take Out,97 Great Northern Rd Sault Ste. Marie ON P6B 4Y9,algoma,treatment
North Channel Pizza - Food Take Out,101 Front Street Spanish ON P0P2A0,algoma,treatment
