Facility Name,Site Address,Facility Type,Last Inspection Date
India Palace Sweets and Restaurant.,1167 Ottawa St Windsor ON N8X 2E4,Restaurant (Full Service),14-Jan-2021
International Hotel,35 Erie St S Leamington ON N8H 3A6,Restaurant (Full Service),11-Feb-2020
Island Cafe,680 Wyandotte St E Windsor ON N9A 3J2,Restaurant (Full Service),22-Oct-2020
J.T. Fong's Restaurant,527 Notre Dame St Belle River ON N0R 1A0,Restaurant (Full Service),29-Oct-2019
Jack's Gastro Pub & Inn 31,31 Division Rd S Kingsville ON N9Y 1P1,Restaurant (Full Service),12-Feb-2020
Jack's Mini Mart,148 Talbot St W Leamington ON N8H 1N4,Restaurant (Full Service),10-Dec-2020
Jake's Roadhouse & Blues Joint,1-2300 Huron Church Rd Windsor ON N9E 3S6,Restaurant (Full Service),11-Sep-2020
Jerry & Jenny's Diner,11256 Tecumseh Rd E Windsor ON N8R 1A8,Restaurant (Full Service),11-Feb-2020
Jim's Sub Shop Restaurant,20 Main St E Kingsville ON N9Y 1A2,Restaurant (Full Service),13-Jan-2021
JJ Romas,221 Front Rd Lasalle ON N9J 1Z6,Restaurant (Full Service),25-Nov-2020
"Joe Schmoe's Eats ""N"" Drinks",1-5881 Malden Rd LaSalle ON N9H 1S5,Restaurant (Full Service),24-Aug-2020
Joey's Only Seafood Restaurant,104-245 Talbot Rd W Leamington ON N8H 1N8,Restaurant (Full Service),15-Nov-2019
John Max Sports & Wings,3208 Dougall Ave Windsor ON N9E 1S6,Restaurant (Full Service),27-Jan-2021
John Max Sports and Wings,800-2601 Lauzon Pkwy Windsor ON N8T 3M4,Restaurant (Full Service),17-Sep-2020
Johnny Rockets,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),12-Mar-2020
Johnny Shotz,13037 Tecumseh Rd E Tecumseh ON N8N 3T6,Restaurant (Full Service),02-Dec-2020
John's Place Family Restaurant,7450 Walker Rd Oldcastle ON N0R 1L0,Restaurant (Full Service),01-Dec-2020
Johnson's Restaurant,2414 Division Rd Windsor ON N8W 4Z8,Restaurant (Full Service),10-Dec-2019
Jose's Bar & Grill,2731 Howard Ave Windsor ON N8X 3X4,Restaurant (Full Service),04-Nov-2020
Jose's Bar and Grill,215 Talbot Rd W Leamington ON N8H 1N8,Restaurant (Full Service),18-Nov-2019
Jubba Restaurant,2000 Wyandotte St W Windsor ON N9B 1J7,Restaurant (Full Service),06-Oct-2020
Jule's Diner on 42,2195 Cty Rd 42 Belle River ON N0R 1A0,Restaurant (Full Service),14-Aug-2020
Junction Box,13039 Tecumseh Rd E Windsor ON N8N 3T4,Restaurant (Full Service),
Junkees.,"999 Erie Street, East Windsor ON N9A 3Y9",Restaurant (Full Service),05-Aug-2020
Just Your Average Joes Sports Bar,1286 Lauzon Rd Windsor ON N8S 3N1,Restaurant (Full Service),27-Aug-2020
Kabobgy,58 Talbot St N Essex ON N8M 1A2,Restaurant (Full Service),03-Jan-2020
Kabobgy,13300 Tecumseh Rd E Tecumseh ON N8N 4R8,Restaurant (Full Service),06-Oct-2020
Kabobgy,5848 Malden Rd LaSalle ON N9H 1S4,Restaurant (Full Service),25-Nov-2020
Kabobgy Express,103-7755 Tecumseh Rd E Windsor ON N8T 1G3,Restaurant (Full Service),12-Jan-2021
Karramana Restaurant,567 Wyandotte Street East Windsor ON N9A 3J1,Restaurant (Full Service),29-Jul-2020
Kelsey's,9 Amy Croft Dr Tecumseh ON N8N 2L9,Restaurant (Full Service),18-Aug-2020
Kelsey's,4115 Walker Rd Windsor ON N8W 3T6,Restaurant (Full Service),09-Nov-2020
Kingsville Brewery Taphouse,15 Main Street West Kingsville ON N9Y 1H2,Restaurant (Full Service),30-Oct-2020
Kingsville Golf and Country Club,640 County Road 20 Kingsville ON N9Y 2E9,Restaurant (Full Service),08-Sep-2020
Kitchn,400-3335 Banwell Rd Windsor ON N8R 2K9,Restaurant (Full Service),14-Nov-2019
Koi Sushi,178-5841 Malden Rd LaSalle ON N9H 1S3,Restaurant (Full Service),07-Oct-2020
Koi Sushi & Japanese Cuisine,18 Main St W Kingsville ON N9Y 1H1,Restaurant (Full Service),30-Oct-2020
Koma,403-3090 Dougall Ave Windsor ON N9E 1S4,Restaurant (Full Service),19-Aug-2020
Kona Sushi,5965 Malden Rd Lasalle ON N9H 1S7,Restaurant (Full Service),23-Jul-2020
Kona Sushi,1801 Wyandotte St E Windsor ON N8Y 1E2,Restaurant (Full Service),16-Dec-2020
