Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Burger King,1-830-100 City Centre Dr Mississauga ON L5B 2C9,Restaurant,2019-11-13,
Burger King,769 Burnhamthorpe Rd W Mississauga ON L5C 3A6,Restaurant,2020-02-05,
Burger King,6465 Mississauga Rd Mississauga ON L5N 1A6,Restaurant,2019-09-20,
Burger King,2919 Queen St E Brampton ON L6T 5J1,Restaurant,2020-12-10,
Burger King,E1-8905 George Bolton Pkwy Caledon ON L7E 4K2,Restaurant,2020-01-14,
Burger King,25 Peel Centre Dr Brampton ON L6T 3R5,Restaurant,2019-10-30,
Burger King,4141 Dixie Rd Mississauga ON L4W 1V5,Restaurant,2019-09-30,
Burger King,285 Queen St E Brampton ON L6W 2C2,Restaurant,2020-11-13,
Burger King,6010 Dixie Rd Mississauga ON L5T 1A6,Restaurant,2019-11-12,
Burger King,2 Beaumaris Dr Brampton ON L6T 5J6,Restaurant,2019-11-13,
Burger King,1490 Dixie Rd Mississauga ON L5E 3E1,Restaurant,2020-02-05,
Burger King # 17047,7014 Torbram Rd Mississauga ON L4T 3Y3,Restaurant,2020-02-11,
Burger King 22087,1022 Eglinton Ave E Mississauga ON L4W 1K3,Restaurant,2020-02-21,
Burger King 5516,5645 Hurontario St Mississauga ON L4Z 1S7,Restaurant,2020-03-10,
Burger Legend,236 Queen St S Mississauga ON L5M 1L5,Restaurant,2019-12-11,
Burger Maker,D1-4870 Tomken Rd Mississauga ON L4W 1J8,Restaurant,2020-02-06,
Burrito Bandidos,8-20 Dewside Dr. Brampton ON L6R3C2,Restaurant,2020-11-19,
Burrito Boyz,9-3100 Winston Churchill Blvd Mississauga ON L5L 2V7,Restaurant,2020-01-15,
Burrito Boyz,22-1 Steeles Ave E Brampton ON,Restaurant,2020-02-18,
Burrito Boyz,15-5130 Dixie Rd Mississauga ON L4W 1C9,Restaurant,2020-12-11,
Burrito Boyz,1-8235 Financial Drive Brampton Ontario L6Y 1M1,Restaurant,2021-01-22,
Burrito Boyz,I-05-6560 Meadowvale Town Centre Cir Mississauga ON L5N 6A2,Restaurant,2019-09-25,
Burrito Masters Fresh Mexican Burritos,48-490 Chrysler Dr Brampton ON L6S 0C1,Restaurant,2019-09-25,
Butter Chicken Roti,213 Queen St S Mississauga ON L5M 1L6,Restaurant,2019-11-25,
C and Dubbs Hamburgers,A-1706 Dundas St E Mississauga ON L4X 1L7,Restaurant,2019-11-12,
C Express,301 Burnhamthorpe Rd W Mississauga ON L5B 3C1,Restaurant,2020-03-13,
Cabana Restaurant & Lounge/Mummy's Afro-Caribbean Kitchen,3-1590 Dundas St E Mississauga ON L4X 2Z2,Restaurant,2019-09-16,
Cafe 21,100 Parkshore Dr Brampton ON L6T 5M1,Restaurant,2020-02-21,
Cafe Atlantis,5745 Atlantic Dr Mississauga ON L4W 1H3,Restaurant,2020-02-04,
Cafe De Khan,13-6400 Millcreek Dr Mississauga ON L2N 3E7,Restaurant,2019-11-20,
Cafe Estadio,A7-55 Selby Rd Brampton ON L6W 1K5,Restaurant,2019-11-22,
Cafe Latino,106-3025 Hurontario St Mississauga ON L5A 2H1,Restaurant,2020-02-04,
Cafe Prego,3115 Dundas St W Mississauga ON L5L 3R8,Restaurant,2020-02-13,
Caffe Demetre,R104-285 Enfield Pl Mississauga ON L5B 3Y6,Restaurant,2019-10-28,
Caffe Demetre,110-111-50 Peel Centre Dr Brampton ON L6T 0E2,Restaurant,2019-07-15,
Cagneys,10-128 Queen St S Mississauga ON L5M 1K8,Restaurant,2019-10-30,
