Facility Name,Site Address,Facility Type,Last Inspection Date
Smiths Express Kitchen,2956 Highway 69 North Val Caron ON P3N 1E3,Food Take Out,04-Dec-20
Smoke's Poutinerie,40 Elm St Sudbury ON P3C 1S8,Food Take Out,02-Mar-20
St. Charles Arena,99 King St E St. Charles ON P0M 2W0,Food Take Out,13-Mar-20
St. Charles Food Market,25 Main St St. Charles ON P0M 2W0,Food Take Out,09-Mar-20
Stackhouse Pizza & Sub Co.,3146 Laura Dr Chelmsford ON P0M 1L0,Food Take Out,20-Oct-20
Subway (Restaurant #20543),3397 Falconbridge Rd Garson ON P3L 1E4,Food Take Out,08-Dec-20
Subway (Restaurant #7756),1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,09-Nov-20
Swiss Chalet/Harvey's,40 Elm St Sudbury ON P3C 1S8,Food Take Out,30-Jan-20
Taco Bell/KFC,1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,07-Dec-20
Tanner's Your Independent Grocer,745 Centre St Espanola ON P5E 1S8,Food Take Out,13-Jan-21
Teller Wellness Essentials,"935 Ramsey Lake Rd., Thorneloe University Sudbury ON P3E 2C6",Food Take Out,28-Jan-21
Terry's Your Independent Grocer,4764 Regional Rd 15 Chelmsford ON P0M 1L0,Food Take Out,21-Oct-20
The Chip Wagon,3577 Errington Ave Chelmsford ON P0M 1L0,Food Take Out,03-Sep-20
The Home Fry,54 Harris Street Gogama ON P0M 1W0,Food Take Out,06-Aug-20
The Port,60 Merideth Street E Little Current ON P0P 1K0,Food Take Out,08-Jun-20
The Silver Bullet,593 Notre Dame Ave Sudbury ON P3C 5L4,Food Take Out,03-Sep-20
The Trough Cook Shack,43 Manitowaning Rd Little Current ON P0P 1K0,Food Take Out,29-May-20
The Voyageur Chipstand,24 Notre Dame St E Noëlville ON P0M 2N0,Food Take Out,08-May-19
Three Cows & A Cone,64 Meredith St E Little Current ON P0P 1K0,Food Take Out,21-Oct-20
Tim Hortons (Restaurant #102114),1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,19-Nov-20
Topper's Pizza,360 Second Ave N Sudbury ON P3B 3Y4,Food Take Out,21-Jan-21
Topper's Pizza,140 Regional Rd 24 Lively ON P3Y 1C3,Food Take Out,20-Oct-20
Topper's Pizza,1984 Regent St Sudbury ON P3E 5S1,Food Take Out,28-Jan-21
Uncle B's Food Cart,2184 Hwy 542 Tehkummah ON P0P 2C0,Food Take Out,26-Jun-20
Variety Plus,1355 Falconbridge Rd Sudbury ON P3A 4N6,Food Take Out,27-Nov-20
Walmart Bento Sushi,2416 Long Lake Rd Sudbury ON P3E 5H5,Food Take Out,07-Dec-20
Walmart Supercentre (Store #1105),2416 Long Lake Rd Sudbury ON P3E 5H5,Food Take Out,07-Dec-20
Walmart Supercentre (Store #3097),1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,11-Dec-20
Warren Fairgrounds,7 Rutland Ave Warren ON P0H 2N0,Food Take Out,24-May-19
Warren Recreation Centre,39 Lafontaine St Warren ON P0H 2N0,Food Take Out,10-Mar-20
Warren Rustic Cafe and Variety,15 Rutland Ave Warren ON P0H 2N0,Food Take Out,09-Dec-20
Whiskey Jack's,84 Rabbit Trail Rd Warren ON P0H 2N0,Food Take Out,16-Jul-19
Whitewater Lake Campground,535 Laurier St Azilda ON P0M 1B0,Food Take Out,06-Jul-20
Wigwam Sandwich Shop,Hwy 6 South Baymouth ON P0P 1Z0,Food Take Out,06-Jul-20
Wilsons Corner Store,6117 King St Mindemoya ON P0P 1S0,Food Take Out,06-Nov-20
