Facility Name,Site Address,Community,Facility Type
Lickity Split,22 Main St W Beeton ON L0G 1A0,Beeton,Food Take Out
Life's A Slice Pizza,5293 County Rd 9 New Lowell ON L0M 1N0,New Lowell,Food Take Out
Little Caesars,11-237 Mapleview Dr Barrie ON L4N 0W5,Barrie,Food Take Out
Little Caesars,104-68 King William St Huntsville ON P1H 1G3,Huntsville,Food Take Out
Little Caesars,5-2 Massey St Angus ON L0M 1B0,Angus,Food Take Out
Little Caesars,109 Young St Alliston ON L9R 0E9,Alliston,Food Take Out
Little Caesars,2-1256 Mosley St Wasaga Beach ON L9Z 2E5,Wasaga Beach,Food Take Out
Little Caesars,222 Mapleview Drive west Barrie ON L4N 9E7,Barrie,Food Take Out
Little Caesars,505 Highway 118 W Bracebridge ON P1L 1T2,Bracebridge,Food Take Out
Little Caesars,19-425 West St N Orillia ON L3V 7R2,Orillia,Food Take Out
Little Caesars,4-9319 County Rd 93 Midland ON L4R 4K4,Midland,Food Take Out
Little Caesars,6-136 Holland Street E Bradford ON L3Z 2P7,Bradford,Food Take Out
Little Caesars,4 High St Collingwood ON L9Y 3J6,Collingwood,Food Take Out
