Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
British Grocer Wholesale,8-2905 Argentia Rd Mississauga ON L5N 8G6,Food Take Out,2020-03-03,
Bubble Republic Tea House,C5-4555 Hurontario St Mississauga ON L4Z 3M1,Food Take Out,2020-02-26,
Bubble Tease,25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2019-08-30,
Buongiorno Cafe & Pasta,80 Rivermont Rd Brampton ON L6Y 0E3,Food Take Out,2020-07-29,
Burger Factory,2-5130 Dixie Rd Mississauga ON L4W 4L9,Food Take Out,2020-03-10,
Burger King,195 Fletchers Creek Blvd Brampton ON L6X 0Y7,Food Take Out,2019-07-22,
Burrito Boyz,2-2460 Queen St E Brampton ON L6S 5X9,Food Take Out,2019-11-19,
Burrito Boyz,19 Dundas St E Mississauga ON L5A 1V9,Food Take Out,2020-03-06,
Burrito Boyz,2-17 Tannery St Mississauga ON L5M 1V1,Food Take Out,2019-08-30,
Burrito Boyz,9 Stavebank Rd Mississauga ON L5G 2T3,Food Take Out,2020-03-04,
Burrito Boyz,H-6-10545 Bramalea Rd Brampton ON L6R 3P4,Food Take Out,2021-02-08,
Burrito Boyz,A4-6795 Airport Rd Mississauga ON L4V 1E6,Food Take Out,2019-10-10,
Burrito Boyz,210 Queen St E Brampton ON L6V 1B7,Food Take Out,2019-08-23,
Butter & Cup Bakery & Coffee Company,218 Dougall Ave Caledon ON L7C 3T6,Food Take Out,2019-10-16,
C Cafe,300 City Centre Dr Mississauga ON L5B 3C1,Food Take Out,2020-03-13,
Cafe Eighty 8,120-160 Traders Blvd E Mississauga ON L4Z 3K7,Food Take Out,2019-11-20,
Cafe Moah,S-21-55 City Centre Dr Mississauga ON L5B 1M3,Food Take Out,2019-11-28,
Cafe 'N' Paan,1D18-7215 Goreway Dr Mississauga ON L4T 2T8,Food Take Out,2020-02-13,
Caledon Country Club - Food Take Out,2121 Olde Base Line Rd Caledon ON L7C 0K7,Food Take Out,2019-08-29,
Caledon Roots,no site address,Food Take Out,,
Caledon Teen Ranch - Ice Cream,20682 Hurontario St Caledon ON L7K 1X1,Food Take Out,2019-08-21,
Camden Food Co - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Food Take Out,2019-09-26,
