Facility Name,Site Address,Community,Facility Type
Dairy Queen,103 Bradford St Barrie ON L4N 3A9,Barrie,Restaurant
Dairy Queen,288 Main St W Wasaga Beach ON L9Z 2N6,Wasaga Beach,Restaurant
Dairy Queen,2 King St S Alliston ON L9R 1V5,Alliston,Restaurant
Dairy Queen,776 Yonge St Midland ON L4R 2E6,Midland,Restaurant
Dairy Queen,316 Hurontario St Collingwood ON L9Y 2M3,Collingwood,Restaurant
Dairy Queen,160 Mill Street Angus ON L0M 1B2,Angus,Restaurant
Dairy Queen,1-130 Howland Drive Huntsville ON P1H 2P9,Huntsville,Restaurant
Dairy Queen,371 Yonge St Barrie ON L4N 4C8,Barrie,Restaurant
Danny's Fish & Chips,7-411 Huronia Rd Barrie ON L4N 9B3,Barrie,Restaurant
"Dardanella Beach Bar, The",13 First St Wasaga Beach ON L9Z 2K2,Wasaga Beach,Restaurant
Davidson's Country Dining,73 Big Bay Point Rd Innisfil ON L9S 2N1,Innisfil,Restaurant
Daybreak,1-547 Holland St W Bradford ON L3Z 0C1,Bradford,Restaurant
Debb's Place,352 Huronia Rd Barrie ON L4M 4S7,Barrie,Restaurant
Deerhurst Resort - Eclipse,1235 Deerhurst Dr Huntsville ON P1H 2E8,Huntsville,Restaurant
Deerhurst Resort - Maple Pub & Patio,1235 Deerhurst Dr Huntsville ON P1H 2E8,Huntsville,Restaurant
Deerhurst Resort - The Antler Steakhouse,1235 Deerhurst Drive Huntsville ON P1H 2E8,Huntsville,Restaurant
Delta Bingo,52 Bayfield Street N Barrie ON L4M 3A5,Barrie,Restaurant
"Den, The",825 Memorial Ave Orillia ON L3V 6S2,Orillia,Restaurant
Desi Licious,12B-130 Bell Farm Rd Barrie ON L4M 6J4,Barrie,Restaurant
Details Cafe,46 Victoria St W Alliston ON L9R 1S6,Alliston,Restaurant
Dewennes,7535 County Rd 9 Creemore ON L0M 1G0,Clearview,Restaurant
Dewey Institute Residence,119 Wellington Street Bracebridge ON P1L 1E2,Bracebridge,Restaurant
Diamond Sushi,29 Anne St S Barrie ON L4N 2C5,Barrie,Restaurant
Diamond Sushi,A-516 Bryne Drive Barrie ON L4N 9P6,Barrie,Restaurant
Dillon's Wood-Fired Pizza,244 King St Midland ON L4R 3M3,Midland,Restaurant
"Diner, The",52 Jones St Angus ON L0M 1B0,Angus,Restaurant
Dino's Fresh Food Deli,319 King St Midland ON L4R 3M5,Midland,Restaurant
Dock of The Bay,1110 Bay St Gravenhurst ON P1P 1Z9,Gravenhurst,Restaurant
Dockside Grill,1111 Killarney Beach Road Lefroy ON L0L 1W0,Innisfil,Restaurant
Domino's Pizza,1C-50 King St S Alliston ON L9R 1H6,Alliston,Restaurant
Domino's Pizza,2-138 Mill St Angus ON L0M 1B2,Barrie,Restaurant
Domino's Pizza,1354 Innisfil Beach Road Innisfil ON L9S 4B7,Alcona,Restaurant
Domino's Pizza,101-201 Cundles Rd E Barrie ON L4M 4S5,Barrie,Restaurant
Don Cherry's Sports Grill,100 Dissette Street Bradford ON L3Z 3G8,Bradford,Restaurant
Don Cherry's Sports Grill,5-353 Anne Street N Barrie ON L4N 7Z9,Adjala-Tosorontio,Restaurant
