Facility Name,Site Address,Facility Type,Last Inspection Date
Okinawa Sushi,798 Lasalle Blvd Sudbury ON P3A 4V4,Restaurant,09-Nov-20
Old Rock Coffee,212 Minto St Sudbury ON P3E 3G9,Restaurant,15-Oct-20
Onaping Golf & Beach Club,725 Lochhead Dr Onaping ON P0M 2R0,Restaurant,08-Jul-20
Orient Restaurant,1500 Regent St Sudbury ON P3E 3Z6,Restaurant,30-Oct-20
Oscar's Grill,86 Durham St Sudbury ON P3E 3M6,Restaurant,18-Dec-20
Osmows,E2-1380 Lasalle Blvd Sudbury ON P3A 3E9,Restaurant,25-Nov-20
Osmows Restaurant,13 A 2040 Algonquin Road Sudbury ON,Restaurant,02-Feb-21
Overtime Sports Bar & Grill,3702 Hwy. 144 Chelmsford ON P0M 1L0,Restaurant,20-Aug-20
Overtime Sports Bar and Grill,941 Notre Dame Ave Sudbury ON P3A 2T7,Restaurant,01-Sep-20
P&M's Kouzzina,1463 Lasalle Blvd Sudbury ON P3A 1Z8,Restaurant,16-Sep-20
Parkside Centre,140 Durham St Sudbury ON P3E 3M7,Restaurant,26-Sep-19
Pasta e Vino Ristorante,118 Paris Street Sudbury ON P3E 3E1,Restaurant,19-Nov-20
Peace Cafe,5263 Hwy 551 Providence Bay ON P0P 1T0,Restaurant,08-Jul-20
Peddler's Pub and Eatery,63 Cedar St Sudbury ON P3E 1A7,Restaurant,28-Aug-19
Peking Palace,19 Front St Capreol ON P0M 1H0,Restaurant,19-Aug-20
Peppi Panini,93 Durham St Sudbury ON P3E 3M5,Restaurant,15-Sep-20
Perkins,1401 Paris St Sudbury ON P3E 3B6,Restaurant,02-Feb-21
Pier Side Restaurant,Highway 6 South Baymouth ON P0P 1Z0,Restaurant,06-Jul-20
Pine Grove Centre,Pine Grove Plaza Cartier ON P0M 1J0,Restaurant,08-Dec-20
Pine Grove Golf Club,6131 Estaire Rd Sudbury ON P3E 4N1,Restaurant,25-Sep-20
Pinewood Motor Inn,378 Centre St Espanola ON P5E 1G3,Restaurant,20-Jan-21
Pita Pit,1338 Kingsway Blvd Sudbury ON P3B 0A3,Restaurant,09-Feb-21
Pita Pit,1897 Regent St Sudbury ON P3E 3Z7,Restaurant,10-Jun-20
Pita Pit,1486 Lasalle Blvd Sudbury ON P3A 1Z7,Restaurant,23-Oct-20
Pizza Hut,4544 Hwy 69 N Val Therese ON P3P 1P9,Restaurant,14-Dec-20
Pizza Hut,944 Barrydowne Rd Sudbury ON P3A 3V3,Restaurant,10-Aug-20
Pizza Hut,121 Loach's Rd Sudbury ON P3E 2P8,Restaurant,26-Jan-21
Pizza Pazzaz,3140 Hwy 69 N Val Caron ON P3N 1G3,Restaurant,16-Oct-20
Quesada Burritos and Tacos,900 Lasalle Blvd Sudbury ON P3A 5W8,Restaurant,02-Feb-21
Quiznos (Store #4486),2040 Algonquin Rd Sudbury ON P3E 4Z6,Restaurant,26-Nov-20
Quiznos (Store #4487),1560 Lasalle Blvd Sudbury ON P3A 1Z6,Restaurant,18-Jan-21
Radisson - Pestos,85 Ste. Anne Rd Sudbury ON P3E 4S4,Restaurant,08-Jan-20
Rainbow Ridge Golf Course,26 B-Clover Valley Rd Manitowaning ON P0P 2J0,Restaurant,07-Jul-20
Red Carpet Inn - Golden Palace,450 Regional Rd 55 Lively ON P3Y 1C4,Restaurant,20-Nov-20
Red Dog Grill,1203 Whitefish Falls Rd Whitefish Falls ON P0P 2H0,Restaurant,08-Oct-20
Red Lobster,1600 Lasalle Blvd Sudbury ON P3A 1Z7,Restaurant,30-Nov-20
Red Lodge Resort,368 Red Lodge Rd Sheguiandah ON P0P 1W0 Canada,Restaurant,07-Aug-19
Reise's Restaurant,300-2354 Maley Dr Garson ON P3L 1P7,Restaurant,26-Jan-21
Respect Is Burning,82 Durham St Sudbury ON P3E 3M6,Restaurant,27-Nov-20
Respect Is Burning - Mess Hall,82 Durham St Sudbury ON P3E 3M6,Restaurant,30-Nov-20
Rhythm 'N' Cues,1855 Lasalle Blvd Sudbury ON P3A 2A3,Restaurant,17-Sep-20
Rich Cat Cafe,4764 Regional Road 15 Chelmsford ON P0M 1L0,Restaurant,04-Nov-20
Ricky-Lee's Da Bomb Diner,1308 Lasalle Blvd Sudbury ON,Restaurant,09-Feb-21
Ripe Restaurant,1788 Regent St Sudbury ON P3E 3Z8,Restaurant,08-Dec-20
Ristorante Verdicchio / Frank's Delicatessen,1351 Kelly Lake Rd Sudbury ON P3E 5P5,Restaurant,25-Nov-20
Rock Garden Terrace,1358 Monument Rd Spring Bay ON P0P 2B0,Restaurant,05-Aug-20
Rocky Raccoon Cafe,24 Water St Gore Bay ON P0P 1H0,Restaurant,08-Aug-19
Roger Rabbits,92 Park St Espanola ON P5E 1E9,Restaurant,02-Sep-20
Rose Apple Asian Restaurant,1875 Paris St Sudbury ON P3E 3C5,Restaurant,25-Sep-20
Rosy's Corner,104 Durham St Sudbury ON P3E 3M7,Restaurant,10-Dec-20
Rudy's Restaurant,483 Lasalle Blvd Sudbury ON P3A 1W8,Restaurant,27-Aug-20
Rustic Cabin Restaurant & Pub,4 Pine Street West Chapleau ON P0M 1K0,Restaurant,03-Nov-20
Sahar of Sudbury,497 Notre Dame Ave Sudbury ON P3C 5L1,Restaurant,05-Jun-20
Salty Dog Bagel,104-96 Larch St Sudbury ON P3E 1C1,Restaurant,13-Mar-20
Salute Coffee Company,2195 Armstrong St Sudbury ON P3E 4W2,Restaurant,23-Jan-20
School House Restaurant,46 McNevin St Providence Bay ON P0P 1T0,Restaurant,24-Jun-20
Shaftesbury Inn,19 Robinson St Little Current ON P0P 1K0,Restaurant,13-Mar-20
Shay's Cafe,205-800 Centre St Espanola ON P5E 1J1,Restaurant,15-Oct-20
Shenango Lodge,Foleyet ON P0M 1T0,Restaurant,15-Aug-19
Shoeless Joe's Sports Grill,2260 Regent St Sudbury ON P3E 0B4,Restaurant,25-Sep-20
Silver Styx Golf Course,257 Ratter Lake Rd Markstay ON P0M 2G0 Canada,Restaurant,22-Jul-20
Sizzle Mongolian Grill,1145 Lorne St Sudbury ON P3C 4S8,Restaurant,15-Oct-20
Spacecraft - SPCRFT,854 Notre Dame Avenue Sudbury ON P3A 2T4,Restaurant,27-Nov-20
Sportsman's Inn Resort & Marina (Anchorage ),37 Channel St Killarney ON P0M 2A0,Restaurant,24-Feb-20
Sportsman's Lodge,240 Kukagami Lake Rd Wahnapitae ON P0M 3C0,Restaurant,13-Aug-20
St. Bartholomew's Church,32 Church St Levack ON P0M 2C0,Restaurant,20-Nov-19
St. Louis Bar & Grill,5003 Hwy 69 N Hanmer ON P3P 1J6,Restaurant,02-Dec-20
St. Louis Bar and Grill,1835 Regent St Sudbury ON P3E 3Z7,Restaurant,18-Nov-20
Stack Brewhouse,947 Falconbridge Rd Sudbury ON P3A 5K8,Restaurant,02-Sep-20
Starbucks,555 Barrydowne Road Sudbury ON P3A 3T4,Restaurant,03-Feb-21
Starbucks,1935 Paris Street Sudbury ON P3E 3C6,Restaurant,19-Feb-20
Starbucks,1425 Kingsway Blvd Sudbury ON P3B 0A2,Restaurant,13-Feb-19
Starlite Restaurant,31 Birch St Chapleau ON P0M 1K0,Restaurant,
Starvin Marvin's Restaurant,3560 Errington Ave Chelmsford ON P0M 1L0,Restaurant,03-Dec-20
Stonehill Golf Club,566 Silver Lake Rd Sudbury ON P3E 4M9,Restaurant,19-Sep-19
Stop 540 Diner,20641 Hwy 540 Silverwater ON P0P 1Y0,Restaurant,02-May-19
Subway (Restaurant #12273),900 Lasalle Blvd Sudbury ON P3A 1X5,Restaurant,03-Feb-21
Subway (Restaurant #13407),3140 Hwy 69 N Val Caron ON P3N 1G3,Restaurant,14-Oct-20
Subway (Restaurant #13903),1895 Regent St Sudbury ON P3E 3Z7,Restaurant,10-Mar-20
Subway (Restaurant #14558),3183 Errington Ave Chelmsford ON P0M 1L0,Restaurant,10-Nov-20
