Facility Name,Site Address,Facility Type,Last Inspection Date
Ultimate Sports Bar,304 St. Clair St. Chatham ON N7L 3K1,Restaurant,07-Dec-20
Venus De Milo Restaurant / Fat Jimmy'z,50 Talbot St W Blenheim ON N0P 1A0,Restaurant,06-Nov-20
Vimex Corner,806 Elgin St Wallaceburg ON N8A 3C5,Restaurant,
Wallaceburg Days Inn,76 McNaughton Ave Wallaceburg ON N8A 1R9,Restaurant,03-Feb-20
Wendy's,58 McNaughton Avenue Wallaceburg ON N8A 1R9,Restaurant,09-Nov-20
Wendy's,450 St. Clair St Chatham ON N7L 3K7,Restaurant,18-Nov-20
Wildwood By The Lake Trailer Park Restaurant,12443 Rose Beach Line Morpeth ON N0P 1X0,Restaurant,09-Jul-20
William Street Cafe,28 William Street S Chatham ON N7M 4S1,Restaurant,13-Oct-20
Willow Ridge Golf and Country Club,439 Chatham St S Blenheim ON N0P 1A0,Restaurant,25-Feb-20
Wimpys Diner,3921 Grand Ave. W Chatham ON N7L 1C4,Restaurant,01-Sep-20
Wood Craft Pizza & Bar,71 Queen St N Tilbury ON N0P 2L0,Restaurant,
Yeck's Smokehouse Grill,20137 Erie Street S Ridgetown ON N0P 2C0,Restaurant,08-Oct-19
Yeck's Station 11,78 Erie Street South Ridgetown ON N0P 2C0,Restaurant,09-Mar-20
Yeck's The Other Place,5 Erie Street N Ridgetown ON N0P 2C0,Restaurant,09-Jan-20
Zee's Bistro,773 St Clair Street Chatham ON N7M 5J7,Restaurant,23-Sep-20
