Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Dysart Township,CAMP ADELAIDE - FOOD,,06-Aug-2020,15372 HWY 118 HALIBURTON ON K0M 1S0
Cardiff Township,CAMP CAN AQUA,,15-Jul-2020,503 BEAVER LAKE DR CARDIFF ON K0L 1M0
Harcourt Township,CAMP EDENWOODS,,16-Jul-2020,6073 ELEPHANT LAKE RD HARCOURT ON K0L 1X0
Somerville Township,CAMP ENDOBANAH,,,3672 MONCK RD KINMOUNT ON K0M 2A0
Guilford Township,CAMP GAN ISRAEL,,06-Aug-2020,1726 GAN TRL HALIBURTON ON K0M 1S0
Stanhope Township,CAMP KANDALORE,,06-Aug-2020,1143 CAMP KANDALORE RD ALGONQUIN HIGHLANDS ON K0M 1J2
Stanhope Township,CAMP KANDALORE-WINTER KITCHEN,,,1143 CAMP KANDALORE RD ALGONQUIN HIGHLANDS ON K0M 1J2
Lutterworth,CAMP KILCOO,,,10737/10735 HWY 35 MINDEN ON K0M 2K0
Kirkfield,CAMP KIRK,,,1083 PORTAGE RD KIRKFIELD ON K0M 2B0
Glamorgan,CAMP NORTHERN LIGHTS,,06-Aug-2020,1615 UNIVERSAL RD HALIBURTON ON K0M 1S0
Harburn Township,CAMP NORTHLAND,,06-Aug-2020,202-4250 HALIBURTON LAKE RD HALIBURTON ON K0M 1S0
Dudley,CAMP TIMBERLANE,,06-Aug-2020,1612 DUDLEY RD HALIBURTON ON K0M 1S0
Guilford Township,CAMP TOWHEE,,06-Aug-2020,1393 CAMP TOWHEE RD HALIBURTON ON K0M 1S0
Stanhope Township,CAMP WHEELER,,06-Aug-2020,1331 CAMP WHEELER LN ALGONQUIN HIGHLANDS ON K0M 1J2
Guilford Township,CAMP WHITE PINE,,06-Aug-2020,1335 CAMP WHITPINE CT HALIBURTON ON K0M 1S0
Campbellford,CAMPBELLFORD & DISTRICT CURLING & RACQUET CLUB,,20-Jul-2020,381 FRONT CAMPBELLFORD ON K0L 1L0
Campbellford,CAMPBELLFORD DISTRICT HIGH SCHOOL,,,119 RANNEY ST W CAMPBELLFORD ON K0L 1L0
Campbellford,CAMPBELLFORD DISTRICT HIGH SCHOOL,,01-Apr-2020,119 RANNEY ST W CAMPBELLFORD ON K0L 1L0
