Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Dysart Township,PINESTONE RESORT AND CONFERENCE CENTRE AND GOLF COURSE - STONE 21,,23-Nov-2020,4252 CTY RD 21 HALIBURTON ON K0M 1S0
Lindsay,PING'S,,25-Mar-2020,235 KENT ST W LINDSAY ON K9V 2Z1
Cobourg,PIONEER ENERGY GAS - ON THE RUN CONVENIENCE,,,500 DIVISION ST COBOURG ON K9A 3S4
Port Hope Municipality,PIONEER GAS STATION-SHOP & GO CONVENIENCE,,,161 PETER ST PORT HOPE ON L1A 1C7
Minden,PIONEER SNACK EXPRESS,,19-Mar-2020,12597 HWY 35 MINDEN ON K0M 2K0
Cobourg,PITA PIT - COBOURG,,11-Sep-2020,E2-66 STRATHY RD COBOURG ON K9A 5X4
Lindsay,PITA PIT - LINDSAY,,10-Feb-2021,53 KENT ST W LINDSAY ON K9V 2Y3
Colborne,PIZZA AMORE,,04-Mar-2020,29 B KING ST E COLBORNE ON K0K 1S0
Cobourg,PIZZA HUT - COBOURG C,,,955 ELGIN ST W COBOURG ON K9A 5J3
Lindsay,PIZZA HUT - LINDSAY SW,,09-Dec-2020,1 COMMERCE RD LINDSAY ON K9V 4Z1
Lindsay,PIZZA NOVA,,08-Jan-2021,26 KENT ST W LINDSAY ON K9V 2Y1
Sherborne Township,PIZZA ON EARTH,,20-Aug-2020,1009 CLAN MACKAY RD DORSET ON P0A 1E0
Ops Township,PIZZA PIZZA - LINDSAY,,,306 HWY 36 LINDSAY ON K9V 4R6
Port Hope Municipality,PIZZA PIZZA - PORT HOPE W,,04-Jun-2020,181 TORONTO RD PORT HOPE ON L1A 3V5
Cobourg,PIZZA PIZZA - COBOURG,,22-Apr-2020,100 KING ST W COBOURG ON K9A 2M4
Fenelon Township,PIZZA PIZZA - FENELON,,10-Nov-2020,798 CTY RD 121 FENELON FALLS ON K0M 1N0
Lindsay,PIZZA PIZZA - LINDSAY E,,01-Feb-2021,145 KENT ST W LINDSAY ON K9V 2Y5
Gore’s Landing,PLAINVILLE PUBLIC SCHOOL,,26-Feb-2020,4877 BURNHAM ST N GORES LANDING ON K0K 2E0
Gore’s Landing,PLAINVILLE YMCA BEFORE AND AFTER CARE,,,4877 BURNHAM ST N GORES LANDING ON K0K 2E0
Grafton,PLAST UKRAINIAN CAMP,,,678 LAKESHORE RD GRAFTON ON K0K 2G0
Brighton,POLLYWOGS,,29-Apr-2020,250 PRESQUILLE PKWY BRIGHTON ON K0K 1H0
Pontypool,PONTYPOOL COMMUNITY CENTRE,,,254 JOHN ST PONTYPOOL ON L0A 1K0
Pontypool,PONTYPOOL FOODMART,,09-Jun-2020,226 JOHN ST PONTYPOOL ON L0A 1K0
Lindsay,POPE JOHN PAUL II ELEMENTARY SCHOOL,,,130 ORCHARD PARK RD LINDSAY ON K9V 5K1
Cobourg,POPEYES CHICKEN - COBOURG C,,21-Aug-2020,C1A-73 STRATHY RD COBOURG ON K9A 5W8
Lindsay,POPEYES CHICKEN - LINDSAY,,30-Nov-2020,431 KENT ST W LINDSAY ON K9V 6B5
Port Hope Municipality,PORT HOPE COMMUNITY HUB,,25-Jan-2021,5325 CTY RD 10 PORT HOPE ON L1A 3V9
Port Hope Municipality,PORT HOPE CONVENIENCE,,,259 ONTARIO ST PORT HOPE ON L1A 2V9
Cobourg,PORT HOPE DRIVE-IN,,17-Jul-2020,2141 THEATRE RD COBOURG ON K9A 2M3
Port Hope Municipality,PORT HOPE GOLF & COUNTRY CLUB,,,82 VICTORIA ST S PORT HOPE ON L1A 3M6
Port Hope Municipality,PORT HOPE GOLF & COUNTRY CLUB - PENYRN PARK,,,82 VICTORIA ST S PORT HOPE ON L1A 3M6
Port Hope Municipality,PORT HOPE HIGH SCHOOL,,,130 HIGHLAND DR PORT HOPE ON L1A 2A3
Port Hope Municipality,PORT HOPE LION'S CLUB,,,29 THOMAS ST PORT HOPE ON L1A 3W3
Port Hope Municipality,PORT HOPE MASONIC TEMPLE - exempt,,,54 TORONTO RD PORT HOPE ON L1A 3R9
Brighton,"PRESQUILLE CAFE, THE",,,3 ELIZABETH ST BRIGHTON ON K0K 1H0
Fenelon Falls Village,PROBST CONVENIENCE,,,73 LINDSAY ST FENELON FALLS ON K0M 1N0
Minden,PROSCUITTO AND BRIE CHARCUTERIE,,,1132 RED UMBRELLA RD MINDEN ON K0M 2K0
Colborne,PROSPECT COMMUNITY CHURCH,,,1 ELGIN ST N COLBORNE ON K0K 1S0
Colborne,PROSPECT COMMUNITY CHURCH - FOOD BANK,,,75 KING ST E COLBORNE ON K0K 1S0
Kirkfield,"PURPLE DOOR, THE",,,1718 KIRKFIELD RD KIRKFIELD ON K0M 2B0
Lindsay,Q CONVENIENCE,,,84 ALBERT ST S LINDSAY ON K9V 3H6
Lindsay,QQ SUSHI & CHINESE RESTAURANT,,31-Aug-2020,52 KENT ST W LINDSAY ON K9V 2Y2
Dalton Township,QUAKER OAKS,,22-Apr-2020,789 MONCK RD SEBRIGHT ON L0K 1W0
Lindsay,QUEEN VICTORIA SCHOOL,,,11 JOHN ST LINDSAY ON K9V 1J3
Port Hope Municipality,QUEENIE'S BAKE SHOP,,11-Mar-2020,16 WALTON ST PORT HOPE ON L1A 2Y8
Lindsay,QUESADA,,08-Dec-2020,F5-449 KENT ST W LINDSAY ON K9V 6C3
Port Hope Municipality,RAILSIDE RESTAURANT,,21-Apr-2020,112 PETER ST PORT HOPE ON L1A 1C3
Cobourg,RAINBOW CINEMAS / MAGIC LANTERN THEATRES,,,1111 ELGIN ST W COBOURG ON K9A 4H7
Bethany,RANCH RESORT,,19-Mar-2020,252 SKI HILL RD BETHANY ON L0A 1A0
Cobourg,REBOUND CHILD AND YOUTH SERVICES NORTHUMBERLAND,,,700 D'ARCY ST COBOURG ON K9A 5T3
Roseneath,RED BARN,,10-Aug-2020,103 LONSBERRY RD ROSENEATH ON K0K 2X0
Lindsay,RED NEK FRIES,,14-Apr-2020,2933 HWY 35 S LINDSAY ON K9V 4R1
Port Hope Municipality,RED RICE BUFFET,,01-Apr-2020,125 PETER ST PORT HOPE ON L1A 1C5
Minden,RED UMBRELLA INN,,26-Mar-2020,1075 RED UMBRELLA RD MINDEN ON K0M 2K0
Lindsay,REFLECTIONS CAFE,,23-Dec-2020,10 ANGELINE ST N LINDSAY ON K9V 4K9
Port Hope Municipality,REGENCY LONG TERM CARE,,25-Feb-2020,66 DORSET ST E PORT HOPE ON L1A 1E3
Lindsay,REID'S VALU-MART,,,42 RUSSELL ST W LINDSAY ON K9V 2W9
Bobcaygeon Village,RETIREMENT SUITES OF KAWARTHA LAKES,,,60 WEST ST BOBCAYGEON ON K0M 1A0
Dysart Township,REXALL DRUG STORE,,23-Apr-2020,224 HIGHLAND ST HALIBURTON ON K0M 1S0
Lindsay,REXALL PHARMA PLUS,,,401 KENT ST W LINDSAY ON K9V 4Z4
Port Hope Municipality,REY RAY'S,,,145 ROSE GLEN RD PORT HOPE ON L1A 3V6
Bewdley,RHINO'S ROADHOUSE,,24-Feb-2020,5078 RICE LAKE DR N BEWDLEY ON K0L 1E0
Carnarvon,RHUBARB,,09-Dec-2020,9201 CTY RD MINDEN ON K0M 1J2
Cobourg,RICCO'S BAR AND GRILL,,,130-900 DIVISION ST COBOURG ON K9A 5V2
Bexley Township,RIDGEWOOD PUBLIC SCHOOL,,,6763 HWY 35 COBOCONK ON K0M 1K0
Bobcaygeon Village,RILEYS BAR AND GRILL,,,50 CANAL STREET EAST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,RILEY'S BAR AND GRILL,,,50 CANAL ST E BOBCAYGEON ON K0M 1A0
Somerville Township,RIVERBANK COOKHOUSE,,,4084 CTY RD 121 KINMOUNT ON K0M 2A0
Coboconk,RIVERBANK PIZZA,,18-Nov-2020,6653 HWY 35 COBOCONK ON K0M 1K0
Laxton,RIVERSIDE INN,,23-Dec-2020,7497 HWY 35 NORLAND ON K0M 2L0
Omemee Village,RIVERVIEW FOOD STORE,,,913 PEACE ST OMEMEE ON K0L 2W0
Campbellford,RIVERVIEW RESTAURANT,,,6 FRONT ST W CAMPBELLFORD ON K0L 1L0
Ops Township,RIVERWOOD TRAILER PARK,,,31 RIVERWOOD PK RD LINDSAY ON K9V 4R4
Omemee Village,ROADSIDE DINER-KING'S FORTUNE,,28-Aug-2020,139 KING ST W OMEMEE ON K0L 2W0
Gooderham,ROBERT MCCAUSLAND MEMORIAL COMMUNITY CENTRE,,13-Jul-2020,1043 COMMUNITY CENTRE RD GOODERHAM ON K0M 1R0
Roseneath,ROBIN'S GENERAL MERCHANT,,,9134 CTY RD 45 ROSENEATH ON K0K 2X0
Sherborne Township,ROBINSON'S GENERAL STORE,,14-Apr-2020,1061 MAIN ST DORSET ON P0A 1E0
Laxton,ROCKCLIFFE TRAILER PARK,,,2728 MONCK RD KIRKFIELD ON K0M 2B0
Laxton,ROCKCLIFFE TRAILER PARK,,,2728 MONCK RD KIRKFIELD ON K0M 2B0
Bethany,ROLLING HILLS PUBLIC SCHOOL,,,694 HWY 7A BETHANY ON L0A 1A0
Port Hope Municipality,ROSEGLEN VILLAGE FOR SENIORS,,28-Feb-2020,53 WELLINGTON ST PORT HOPE ON L1A 3Z2
Roseneath,ROSENEATH CENTENNIAL PUBLIC SCOOL,,,9047 HWY 45 ROSENEATH ON K0K 2X0
Cobourg,ROSEWOOD ESTATES,,01-Dec-2020,255 DENSMORE RD COBOURG ON K9A 2M5
Lindsay,ROSS MEMORIAL HOSPITAL,,23-Dec-2020,10 ANGELINE ST N LINDSAY ON K9V 4K9
Brighton,ROYAL CANADIAN LEGION,,,25 PARK RD BRIGHTON ON K0K 1H0
Bewdley,ROYAL CANADIAN LEGION - BEWDLEY,,17-Apr-2020,5063 MAIN BEWDLEY ON K0L 1E0
Dysart Township,ROYAL CANADIAN LEGION - BRANCH 129 - HALIBURTON,,20-Jul-2020,719 MOUNTAIN ST HALIBURTON ON K0M 1S0
Fenelon Falls Village,ROYAL CANADIAN LEGION - BRANCH 23,,20-Nov-2020,23 VETERANS WAY FENELON FALLS ON K0M 1N0
Coboconk,ROYAL CANADIAN LEGION - BRANCH 519,,,2916 COUNTY RD COBOCONK ON K0M 1K0
Wilberforce,ROYAL CANADIAN LEGION - BRANCH 624 - WILBERFORCE,,19-Jun-2020,1007 BURLEIGH RD WILBERFORCE ON K0L 3C0
Minden,ROYAL CANADIAN LEGION - BRANCH 636 - MINDEN,,11-Aug-2020,12847 HWY 35 MINDEN ON K0M 2K0
Campbellford,ROYAL CANADIAN LEGION - CAMPBELLFORD,,,34 BRIDGE ST W CAMPBELLFORD ON K0L 1L0
Hastings Village,ROYAL CANADIAN LEGION - HASTINGS,,,219-10 FRONT ST W HASTINGS ON K0L 1Y0
Lindsay,ROYAL CANADIAN LEGION - LINDSAY,,10-Dec-2020,12 YORK ST LINDSAY ON K9V 3Z6
Omemee Village,ROYAL CANADIAN LEGION - OMEMEE,,,46 KING ST OMEMEE ON K0L 2W0
Cobourg,ROYAL CANADIAN LEGION BRANCH 133,,,136 ORR ST COBOURG ON K9A 4K1
Pontypool,ROYAL GARDEN RESTAURANT,,09-Jun-2020,226 JOHN ST PONTYPOOL ON L0A 1K0
Cobourg,RUSTIC BEAN COFFEE COMPANY,,,91 KING ST COBOURG ON K9A 2M4
Port Hope Municipality,RUTH CLARKE ACTIVITY CENTRE FOR SENIORS,,,81 MILL ST S PORT HOPE ON L1A 2S8
Colborne,RUTHERFORD'S FARM MARKET,,27-Apr-2020,205 KING ST E COLBORNE ON K0K 1S0
Campbellford,RX DRUG MART GUARDIAN,,,16 GRAND RD CAMPBELLFORD ON K0L 1L0
Lindsay,RX DRUG MART-IDA,,,51 KENT ST W LINDSAY ON K9V 2X9
Bexley Township,RYAN'S CHARBROLIED BURGERS,,15-Jul-2020,6730 HWY 35 COBOCONK ON K0M 1K0
Dalrymple Lake,RYMPLES ON THE LAKE,,20-Nov-2020,230 LAKE DALRYMPLE RD SEABRIGHT ON L0K 1W0
Lindsay,S & H HEALTH FOODS,,08-Jan-2021,31-401 KENT ST W LINDSAY ON K9V 4Z1
Bethany,SADDLEWOOD EQUESTRIAN CENTRE,,,749 BETHANY HILLS RD BETHANY ON L0A 1A0
Minden,SAINT PAULS ANGLICAN CHURCH,,,19 INVERGORDON ST MINDEN ON
Cobourg,SAKURA SUSHI COBOURG,,17-Apr-2020,96 KING ST COBOURG ON K9A 4A8
Warkworth,SALT CREEK GOLF LINKS,,,353 NORHAM RD WARKWORTH ON K0K 3K0
Lindsay,SALVATION ARMY,,,51 EGLINTON ST LINDSAY ON K9V 3Z5
Fenelon Falls Village,SALVATION ARMY CITADEL,,25-Nov-2020,42 BOND ST W FENELON FALLS ON K0M 1N0
Port Hope Municipality,SALVATION ARMY COMMUNITY & FAMILY SERVICES - FOOD CUPBOARD,,,100 PETER ST PORT HOPE ON L1A 1C3
Cobourg,SALVATION ARMY-COBOURG COMMUNITY CHURCH,,,59 BALLANTINE ST COBOURG ON K9A 5G8
Brighton,SANDY FLAT SUGAR BUSH,,,500 CONC RD 3 W WARKWORTH ON K0K 3K0
Stanhope Township,SANDY LANE RESORT,,,17592 HWY 35 ALGONQUIN HIGHLANDS ON K0M 1J2
Port Hope Municipality,SANTORINI'S RESTAURANT,,,53 WALTON ST PORT HOPE Ontario
Oakwood,"SAUCY DOG, THE",,,1046 HWY 7 OAKWOOD ON K0M 2M0
Alnwick Township,SCENERY DRIVE RESTAURANT,,06-Nov-2020,6193 HWY 45 BALTIMORE ON K0K 1C0
Port Hope Municipality,"SCHNITZEL SHACK, THE",,23-Jun-2020,3 TORONTO RD PORT HOPE ON L1A 3R4
Omemee Village,SCOTT YOUNG PUBLIC SCHOOL,,,27 WALNUT ST OMEMEE ON K0L 2W0
Warkworth,SCOTT'S VARIETY STORE,,22-Apr-2020,22 MAIN ST WARKWORTH ON K0K 3K0
Warkworth,SERENDIPITOUS OLD STUFF LOUNGE,,31-Jul-2020,161 OLD HASTINGS RD WARKWORTH ON K0K 2X0
Eldon,SHAE'S DINER,,16-Oct-2020,1328 PORTAGE RD KIRKFIELD ON K0M 2B0
Eldon,SHALLAMAR CONVENIENCE STORE,,,1328 PORTAGE RD KIRKFIELD ON K0M 2B0
Stanhope Township,SHALOM BY THE LAKE COTTAGES & RETREAT,,,1570 LITTLE HAWK LK RD ALGONQUIN HIGHLANDS ON K0M 1J2
Campbellford,SHARPE'S FOOD MARKET,,,85 FRONT ST N CAMPBELLFORD ON K0L 1L0
Cobourg,SHAWARMA HOUSE AND PIZZA,,16-Mar-2020,144 KING ST W COBOURG ON K9A 2M5
Woodville,SHAWN'S GAS & VARIETY,,,125 NAPPADALE ST WOODVILLE ON K0M 2T0
Brighton,SHELL - BRIGHTON,,,15355 TELEPHONE RD BRIGHTON ON K0K 1H0
Port Hope Municipality,SHELL - PORT HOPE,,,369 ONTARIO ST PORT HOPE ON L1A 2W4
Port Hope Municipality,SHELL C81326 - PORT HOPE W,,,156 TORONTO RD PORT HOPE ON L1A 3S5
Coboconk,SHELL COBOCONK C22568,,01-May-2020,6720 HWY 35 COBOCONK ON K0M 1K0
Bobcaygeon Village,SHELL GAS & CONVENIENCE,,,232 MAIN ST BOBCAYGEON ON K0M 1A0
Lindsay,SHELL'S FOOD STORE,,,17 LINDSAY ST S LINDSAY ON K9V 2L7
Grafton,SHELTER VALLEY CREEK,,,1225 SHELTER VALLEY RD GRAFTON ON K0K 2G0
Grafton,SHELTER VALLEY PINES,,,1806 SHELTER VALLEY RD GRAFTON ON K0K 2G0
Omemee Village,SHIRLEY'S PLACE,,08-Jun-2020,3407 HWY 7 OMEMEE ON K0L 2W0
Somerville Township,SHOP N SAVE DISCOUNT STORE AND CONVENIENCE,,,4088 CTY RD 121 KINMOUNT ON K0M 2A0
Lindsay,SHOPPERS DRUG MART,,,74 KENT ST W LINDSAY ON K9V 2Y4
Lindsay,SHOPPERS DRUG MART,,,341 KENT ST W LINDSAY ON K9V 2Z7
Cobourg,SHOPPERS DRUG MART,,,270 SPRING ST COBOURG ON K9A 3K2
Bobcaygeon Village,SHOPPERS DRUG MART - 1538,,,85 BOLTON ST BOBCAYGEON ON K0M 1A0
Haliburton Village,SHOPPERS DRUG MART - Shoppers Drug Mart,,16-Apr-2020,186 HIGHLAND ST HALIBURTON ON K0M 1S0
Cobourg,SHORTBREAD COMPANY,,,190 FINLEY RD COBOURG ON K9A 4J8
Cobourg,SHUCK IT,,,92 KING ST W COBOURG ON K9A 2M3
Campbellford,SIDEWAYS BAR AND GRILL,,25-Jun-2020,18 BRIDGE ST W CAMPBELLFORD ON K0L 1L0
Campbellford,SIDEWAYS BAR AND GRILL,,,18 BRIDGE ST E CAMPBELLFORD ON K0L 1L0
Fenelon Falls Village,SIGNATURE RESTAURANT AND CAFE,,29-Jul-2020,102 LINDSAY ST S FENELON FALLS ON K0M 1N0
Bethany,SIMPLY FRIES AND MORE,,,509 HWY 7A BETHANY ON L0A 1A0
Guilford Township,SIR SAM'S INN AND WATER SPA-TWIN FIRES DINING,,10-Nov-2020,1491 SIR SAM'S RD EAGLE LAKE ON K0M 1M0
Guilford Township,SIR SAM'S SKI & BIKE,,,1054 LISWOOD RD EAGLE LAKE ON K0M 1M0
Dysart Township,SIR SANDFORD FLEMING COLLEGE,,,297 COLLEGE DR HALIBURTON ON K0M 1S0
Kirkfield,SIR WILLIAM MACKENZIE INN,,28-Oct-2020,1011 PORTAGE RD KIRKFIELD ON K0M 2B0
Dysart Township,SIRCH - COMMUNITY KITCHEN,,03-Nov-2020,7-49 MAPLE AVE HALIBURTON ON K0M 1S0
Fenelon Falls Village,SLICES AND SCOOPS,,09-Jun-2020,10 A WATER ST FENELON FALLS ON K0M 1N0
Campbellford,SLICK'S BURGER SHACK,,20-Jan-2021,7-103 DOXEE ST N CAMPBELLFORD ON K0L 1L0
Smithfield,SMITHFIELD PUBLIC SCHOOL,,,241 DREWERY ST BRIGHTON ON K0K 1H0
Lindsay,SMITTY'S,,,70-370 KENT ST W LINDSAY ON K9V 6G8
Brighton,"SMOKEHOUSE EATERY & PUB, THE",,18-Jun-2020,6 OLIPHANT ST BRIGHTON ON K0K 1H0
Cameron,SMOKIN DAVE'S BBQ AND BEYOND,,12-May-2020,4400 HWY 35 CAMERON ON
Cameron,SMOKIN DAVE'S BBQ AND BEYOND - TAKE OUT,,12-May-2020,4400 HWY 35 CAMERON ON
Gooderham,SMOKIN JAKES BBQ SHACK,,,10752 CTY RD 503 GOODERHAM ON K0M 1R0
Brighton,SOBEYS,,,14 MAIN ST BRIGHTON ON K0K 1H0
Fenelon Falls Village,SOBEYS,,12-Nov-2020,15 LINDSAY ST FENELON FALLS ON K0M 1N0
Port Hope Municipality,"SOCIAL BAR AND TABLE, THE",,17-Aug-2020,26 ONTARIO ST PORT HOPE ON L1A 2T7
Harcourt Township,SOLOWAY'S HOT DOG FACTORY OUTLET,,29-Apr-2020,4071 ELEPHANT LAKE RD HARCOURT ON K0L 1X0
Campbellford,So-Selective - Farmers Market Food Vendor,,16-Sep-2020,169 Garry Street Campbellford ON K0L 1L0
Cobourg,SOULA'S,,,260 GEORGE ST COBOURG ON K9A 3L6
Somerville Township,SOUTERS VARIETY-ICE CREAM,,,6651 HWY 35 COBOCONK ON K0M 1K0
Harcourt Township,SOUTH ALGONQUIN COUNTRY STORE,,21-Apr-2020,3895 LOOP RD HARCOURT ON K0L 1X0
Wilberforce,SOUTH ALGONQUIN DINER,,04-Dec-2020,2269 LOOP RD WILBERFORCE ON K0L 3C0
Pontypool,SOUTH POND FARM,,21-Jul-2020,1020 GRAY RD PONTYPOOL ON L0A 1K0
Grafton,SOUTHERN STREET BISTRO INC,,31-Mar-2020,8700 COUNTY RD 30 TRENT RIVER ON K0L 1Z0
Fenelon Township,SOUTHVIEW CAMERON NEW HORIZONS CLUB,,28-Oct-2020,107 ANDERSON DR CAMERON ON K0M 1G0
Warkworth,SPER,,18-Jun-2020,20 MAIN ST WARKWORTH ON K0K 3K0
Woodville,SPIRAEA HERBAL CLINIC,,,5 BRANCH ST WOODVILLE ON K0M 2T0
Lindsay,"SPOTSTAR, THE",,,259 KENT ST W LINDSAY ON K9V 2Z3
Brighton,SPRING VALLEY PUBLIC SCHOOL,,,212 CTY RD 26 BRIGHTON ON K0K 1H0
Cobourg,SPRUCEWOOD BRANDS,,,628 ONTARIO ST COBOURG ON K9A 3C4
Little Britain,"SPUDSTER, THE",,11-Feb-2021,1051 LITTLE BRITAIN RD LITTLE BRITAIN ON K0M 2C0
Little Britain,"SPUDSTER, THE",,,1051 LITTLE BRITAIN RD LITTLE BRITAIN ON K0M 2C0
Brighton,SQUARE BOY PIZZA,,,47 ELIZABETH ST BRIGHTON ON K0K 1H0
Lindsay,SQUARE BOY PIZZA - LINDSAY,,03-Dec-2020,215 KENT ST W LINDSAY ON K9V 2Z1
Brighton,ST ANDREWS TRINITY UNITED CHURCH,,,13 CHAPEL BRIGHTON ON K0K 1H0
Port Hope Municipality,ST ANTHONY BEFORE AND AFTER CARE,,,74 TORONTO RD PORT HOPE ON L1A 3R9
Port Hope Municipality,ST ANTHONY CATHOLIC ELEMENTARY SCHOOL,,,74 TORONTO RD PORT HOPE ON L1A 3R9
Ops Township,ST DAVE'S DINER,,02-Mar-2020,2925 HWY 35 S LINDSAY ON K9V 4R4
Ops Township,ST DAVE'S DINER,,,2925 HWY 35 S LINDSAY ON K9V 4R4
Lindsay,ST DOMINIC'S CATHOLIC ELEMENTARY SCHOOL,,,320 MARY ST W LINDSAY ON K9V 5X5
Cobourg,ST JOSEPH'S CATHOLIC ELEMENTARY SCHOOL,,03-Mar-2020,119 D'ARCY ST COBOURG ON K9A 5C4
Emily,ST LUKE CATHOLIC ELEMENTARY SCHOOL,,,355 ST LUKE'S RD LINDSAY ON K9V 4R5
Grafton,ST MARY CATHOLIC ELEMENTARY SCHOOL,,,103B LYLE ST GRAFTON ON K0K 2G0
Campbellford,ST MARY CATHOLIC ELEMENTARY SCHOOL,,,35 CENTRE ST CAMPBELLFORD ON
Cobourg,ST MARY'S CATHOLIC SECONDARY SCHOOL,,,1050 BIRCHWOOD TRL COBOURG ON K9A 5S9
Cobourg,ST MARY'S CATHOLIC SECONDARY SCHOOL,,17-Apr-2020,1050 BIRCHWOOD TRL COBOURG ON K9A 5S9
Lindsay,ST MARY'S ELEMENTARY SCHOOL,,,16 ST LAWRENCE ST LINDSAY ON K9V 2J8
Cobourg,ST MICHAEL'S CATHOLIC ELEMENTARY SCHOOL,,,23 UNIVERSITY AVE W COBOURG ON K9A 2G6
Brighton,ST PAUL'S ANGLICAN CHURCH,,,48 SANDFORD ST BRIGHTON ON K0K 1H0
Port Hope Municipality,ST PAULS ANGLICAN CHURCH,,,6876 CTY RD 10 PORT HOPE ON L1A 3V5
Port Hope Municipality,ST PAUL'S CHURCH,,,131 WALTON ST PORT HOPE ON L1A 1N4
Cobourg,ST PAUL'S LUTHERAN CHURCH,,,388 WILLIAM ST COBOURG ON K9A 3A2
Cobourg,ST PETER'S CHURCH,,,240 COLLEGE ST COBOURG ON K9A 4K2
Lindsay,ST THOMAS AQUINAS,,,260 ANGELINE ST S LINDSAY ON K9V 0J8
Lindsay,ST THOMAS AQUINAS,,,260 ANGELINE ST S LINDSAY ON K9A 5S9
Cobourg,ST. PETER'S PRESCHOOL LEARNING,,16-Sep-2020,240 COLLEGE ST COBOURG ON K9A 3V2
Cobourg,STACKED PANCAKE AND BREAKFAST HOUSE,,09-Oct-2020,"2-1 Strathy Rd Cobourg, K9A 5J65 Ontario"
Stanhope Township,STANHOPE FIREFIGHTERS HALL,,26-Jun-2020,1095 NORTH SHORE RD ALGONQUIN HIGHLANDS ON K0M 1J1
Port Hope Municipality,STAPLETON FARMS,,30-Jul-2020,"2708 Highway 28 Port Hope, Ontairo L1A 3V5"
Port Hope Municipality,STARBUCKS - restaurant,,11-Mar-2020,60 ONTARIO ST PORT HOPE ON L1A 2T8
Grafton,STE ANNE'S FOOD TRUCK,,16-Sep-2020,252 ACADAMY HILL DRIVE GRAFTON ON K0K 2G0
Grafton,STE ANNE'S INN & SPA - RESTAURANT,,16-Sep-2020,1009 MASSEY RD GRAFTON ON K0K 2G0
Grafton,STE. ANNE'S BAKERY,,22-Sep-2020,252 ACADEMY HILL RD GRAFTON ON K0K 2G0
Cobourg,STEEPLEAF TEA AND BISTRO AND SPICE SHOP,,,6-73 KING ST W COBOURG ON K9A 4J8
Bobcaygeon Village,STRANG'S VALU MART,,22-Apr-2020,101 EAST ST BOBCAYGEON ON K0M 1A0
Cobourg,STREAMWAY VILLA,,12-Aug-2020,19 JAMES ST W COBOURG ON K9A 2J8
Lindsay,STRIKE POINT BOWLING CENTRE,,,46 WILLIAM ST S LINDSAY ON K9V 3A5
Dysart Township,STUART W BAKER ELEMENTARY SCHOOL,,,1080 GRASS LAKE RD HALIBURTON ON K0M 1S0
Fenelon Township,STURGEON POINT GOLF CLUB,,,76 GOLF LINKS RD FENELON FALLS ON K0M 1N0
Port Hope Municipality,SUBWAY,,,135 PETER ST PORT HOPE ON L1A 1C5
Cobourg,SUBWAY,,23-Apr-2020,1-2 STRATHY RD COBOURG ON K9A 5J7
Campbellford,SUBWAY,,,21 DOXSEE AVE S CAMPBELLFORD ON K0L 1L0
Port Hope Municipality,SUBWAY,,,2211 COUNTRY RD 28 PORT HOPE ON L1A 3V6
Cobourg,SUBWAY,,21-Sep-2020,1030 DIVISION ST COBOURG ON K9A 4J9
Omemee Village,SUBWAY,,10-Feb-2021,10 KING ST E OMEMEE ON K0L 2W0
Bobcaygeon Village,SUBWAY - BOBCAYGEON,,,29 KING ST E BOBCAYGEON ON K0M 1A0
Brighton,SUBWAY - BRIGHTON,,,2-64 ELIZABETH ST BRIGHTON ON K0K 1H0
Coboconk,SUBWAY - COBOCONK,,,6716 HWY 35 COBOCONK ON K0M 1K0
Cobourg,SUBWAY - COBOURG C,,,73 KING ST W COBOURG ON K9A 2M4
Dysart Township,SUBWAY - DYSART,,21-Feb-2020,177 HIGHLAND ST HALIBURTON ON K0M 1S0
Fenelon Falls Village,SUBWAY - FENELON FALLS,,,7 COLBORNE ST FENELON FALLS ON K0M 2K0
Hastings Village,SUBWAY - HASTINGS,,28-Jul-2020,1-8 WATER ST HASTINGS ON K0L 1Y0
Lindsay,SUBWAY - LINDSAY NW,,10-Feb-2021,370 KENT ST W LINDSAY ON K9V 2Z7
Minden,SUBWAY - MINDEN,,09-Apr-2020,B-12621 HWY 35 MINDEN ON K0M 2K0
Port Hope Municipality,SUBWAY - PINE VIEW PLAZA,,,C-121 TORONTO RD PORT HOPE ON L1A 3C5
Port Hope Municipality,SUGAR DUST BAKERY,,22-Jun-2020,74 WALTON ST PORT HOPE ON L1A 2Z2
Lutterworth,SUMMER KISS RESTAURANT,,06-Aug-2020,1014 LOIS LN MOORES FALLS ON K0M 2L1
Fenelon Falls Village,SUN MING RESTAURANT,,09-Oct-2020,15 COLBORNE ST FENELON FALLS ON K0M 1N0
Port Hope Municipality,SUN TREE NATURAL FOODS,,,19 ONTARIO ST PORT HOPE ON L1A 2T7
Fenelon Township,SUNNY ACRES TRAILER PARK CONVENIENCE,,,24 SUNNY ACRES RD FENELON FALLS ON K0M 1N0
Lindsay,SUNRISE BUFFET,,03-Dec-2020,431 KENT ST W LINDSAY ON K9V 6L6
Port Hope Municipality,SUNSHINE HEIGHTS CO-OP DAY CARE,,19-Feb-2020,40 WARD ST PORT HOPE ON L1A 1L5
Lindsay,SUPER NATURAL VEGAN CUISINE,,03-Dec-2020,22 LINDSAY ST S LINDSAY ON K9V 2L8
Minden,SUWAN'S THAI CUISINE,,,3 INVERGORDON AVE MINDEN ON K0M 2K0
