Facility Name,Site Address,Last Inspection Date
Sushi Eleven,144 Thames St S Ingersoll ON N5C 2T4,11/10/2020
Swiss Chalet,427 Norwich Ave Woodstock ON N4S 3W4,08/19/2020
Swiss Chalet/Harvey's,1014.5 Talbot St St Thomas ON N5P 1G3,08/25/2020
TA Woodstock 230 Travel Centre - Restaurant,535 Mill St Exit 230 Hwy 401 Woodstock ON N4S 7V6,
Taco Bell,950 Talbot St St. Thomas ON N5P 1E7,
Take a Bite Restaurant,22354 Talbot Line Rodney ON N0L 2C0,
Talbot Trails Restaurant and Gardens,9353 Graham Rd West Lorne ON N0L 2P0,
Tall Tales Café and Variety,29634 Talbot Line Wallacetown ON N0L 2M0,02/25/2020
Tandoori Delights,1-780 Dundas St Woodstock ON N4S 1E9,08/25/2020
Tandoori Knight,511 Dundas St Woodstock ON N4S 1C3,
Tarandowah Golfers Club Restaurant,15125 Putnam Rd Springfield ON N0L 2J0,
Taste of China,523 Dundas St Woodstock ON N4S 1C3,01/20/2021
Tavistock Restaurant,36 Woodstock St S Tavistock ON N0B 2R0,03/09/2020
Telegraph House Bed & Breakfast,205 Main St Port Stanley ON N5L 1C4,
"Terra Nova Therapy, Spa and Café - Indoor",596145 Hwy 59 Woodstock ON N4S 7W1,
Thai Food Take Out,39 King St Aylmer ON N5H 1Z9,
Thames Garden Chinese Restaurant,99 Thames St N Ingersoll ON N5C 3C6,10/21/2020
That Breakfast Place/Pizzaxl's,301 Bridge St. Port Stanley ON N5L 1C3,11/26/2020
The 1909 Culinary Academy,5183 Trussler Rd Ayr ON N0B 1E0,03/05/2020
The Barnyard,559 Dundas St Woodstock ON N4S 1C6,
The Coyote,102 Tillson Ave Tillsonburg ON N4G 3A1,
The Gordita Shop,38 Talbot St E Aylmer ON N5H 1H4,
The Jokers Crown Inc,129-131 Thames St S Ingersoll ON N5C 2T3,08/05/2020
The Lantern Tea Room,37 Stover St. S Norwich ON N0J 1P0,
Tiffins - A Better Sandwich,497 Dundas St Woodstock ON N4S 1C3,10/28/2020
Tillsonburg Airport Skyway Cafe,244411 Airport Rd Tillsonburg ON N4G 4H1,
Tim Hortons,200-1534 Dundas St Woodstock ON N4S 7V9,
Tim Hortons,60 Elm St St. Thomas ON N5R 6G6,
Tim Hortons,73 Oxford St Tillsonburg ON N4G 5A7,08/24/2020
Tim Hortons,773080 Hwy 59 Norwich ON N0J 1P0,
Tim Hortons,21 Woodstock St N Tavistock ON N0B 2R0,
Tim Hortons,1204 Talbot St St Thomas ON N5P 1G5,
Tim Hortons,400 Highbury Ave St. Thomas ON N5P 0A5,11/03/2020
Tim Hortons,145 S Edgeware Rd St. Thomas ON N5P 4C4,10/19/2020
Tim Hortons,942 Dundas St E Woodstock ON N4S 1H3,
Tim Hortons,374 John St N Aylmer ON N5H 2E4,
Tim Hortons,566 Norwich Ave Woodstock ON N4V 1C6,
Tim Hortons,857 Devonshire Ave Woodstock ON N4S 8Z4,
Tim Hortons,228 Dundas St W Woodstock ON N4S 1A7,
Tim Hortons,401223 Hwy 401 W Ingersoll ON N5C 3K1,
Tim Hortons,546 Talbot St St. Thomas ON N5P 1C4,
Tim Hortons,75 Thames St S Ingersoll ON N5C 2T2,
Tim Hortons,995 Talbot St St. Thomas ON N5P 1G1,09/18/2020
Tim Hortons,105 St. Patrick St Thamesford ON N0M 2M0,
Tim Hortons,191 Talbot St St. Thomas ON N5P 1A8,
Tim Hortons,503 Talbot St W Aylmer ON N5H 2T9,
Tim Hortons,20 Huron St Woodstock ON N4S 6Z2,
Tim Hortons,560 Broadway St. Tillsonburg ON N4G 3S7,08/11/2020
Tim Hortons,10 Samnah Cres Ingersoll ON N5C 3J7,03/03/2020
Tim Hortons,200 Broadway St. Tillsonburg ON N4G 5A7,
Tim Hortons,280 Elm St St. Thomas ON N5R 1J5,
Tim Horton's,5-805 Vansittart Ave Woodstock ON N4T 0L6,
Titos Pizza,773088 Hwy 59 Norwich ON N0J 1P0,07/14/2020
Tito's Pizza,62 Simcoe St Tillsonburg ON N4G 2H6,11/09/2020
Trails Edge Tavern Inc,46 Albert St Plattsville ON N0J 1S0,
Traveller's Restaurant,593737 Hwy 59 Burgessville ON N0J 1C0,
