Facility Name,Site Address,Last Inspection Date,Facility Type
Fionn MacCools,36 Kingston Rd E Ajax ON L1Z 1G1,28-Oct-20,Restaurant
Fionn MacCool's,2350 Highway 2 Bowmanville ON L1C 3K7,28-Jan-20,Restaurant
Fionn MacCool's,214 Ritson Rd N Oshawa ON L1G 0B2,17-Nov-20,Restaurant
First Choice Fish & Chips,13-570 Westney Rd S Ajax ON L1S 6V5,22-Nov-19,Restaurant
Fisherman Family Restaurant,3341 Highway 35/115 Newcastle ON L1B 1L9,08-Oct-20,Restaurant
Five Star Restaurant,965 Dundas St W Whitby ON L1P 1A1,03-Sep-20,Restaurant
Flavours,1-605 Kingston Rd W Ajax ON L1S 6L9,14-Sep-20,Restaurant
Food Time,4 &5-1660 Kingston Rd Pickering ON L1V 5R2,08-Feb-19,Restaurant
Food Time Restaurant,101B-3555 Thickson Rd Whitby ON L1R 1Z6,22-Sep-20,Restaurant
Food Village,15-1801 Dundas St E Whitby ON L1N 7C5,15-Nov-19,Restaurant
Footprints Resto,17-375 Kingston Rd Pickering ON L1V 1A3,21-Oct-20,Restaurant
Forever Fresh Coffee & Donut,363 Wilson Rd S Oshawa ON L1H 6C6,14-Jan-20,Restaurant
Forum Drive-in Restaurant,580 Ritson Rd S Oshawa ON L1H 5K8,10-Mar-20,Restaurant
Forum Restaurant,3420 Hwy 35 / 115 Newcastle ON,18-Dec-19,Restaurant
Foundry Kitchen & Bar,56 Water St Port Perry ON L9L 1J2,08-Nov-19,Restaurant
Fox & the Goose Sports Bar & Grill,799 Park Rd S Oshawa ON L1J 4K1,20-Nov-20,Restaurant
Frantastic Cafe,28-2020 Wentworth St Whitby ON L1N 9A8,11-Feb-21,Restaurant
Frosty John's Pub & Restaurant,7 8 & 9-100 Mearns Ave Bowmanville ON L1C 3K5,13-Feb-21,Restaurant
Garry's Mr. Jerk Chicken,4A-1121 Dundas St E Whitby ON L1N 2K5,25-Aug-20,Restaurant
General Pub And Grill,21 Celina St Oshawa ON L1H 4M9,29-Jan-20,Restaurant
Genesys Caribbean Fusion,114 Athol Ave Whitby ON L1N 3Y9,01-Dec-20,Restaurant
Giorgios Casual/Fine Dining,15 Cameron St E Cannington ON L0E 1E0,13-Mar-20,Restaurant
Glen Cedars Golf Course,230 Seventh Concession Rd Claremont ON L1Y 1A2,19-Aug-19,Restaurant
Go Go Pizza & Subs,355 Bloor St W Oshawa ON L1J 5Y5,12-Jan-21,Restaurant
Golden Gate Eatery & Takeout,1A-1300 King St E Oshawa ON L1H 8J4,10-Nov-20,Restaurant
Golden Pine Chinese Food Restaurant,2 Glenabbey Dr Courtice ON L1E 1C1,31-Aug-20,Restaurant
Golden Star Restaurant,306 Simcoe St Beaverton ON L0K 1A0,05-Mar-20,Restaurant
Goldie's Cafe + Eatery,19-75 Bayly St W Ajax ON L1S 7K7,11-Dec-19,Restaurant
Good Pho You,17-235 Bayly St W Ajax ON L1S 3K3,26-Nov-19,Restaurant
Goreski's Landing - D & D's Lakeside Restaurant,225 Platten Blvd Port Perry ON L9L 1B4,15-May-19,Restaurant
Gourmet Kobo Japanese Cuisine,5-512 Kingston Rd Pickering ON L1V 1A6,01-Aug-19,Restaurant
Grace Kitchen,5-1050 Simcoe St N Oshawa ON L1G 4W5,26-Sep-19,Restaurant
Granite Golf Club,2699 York-Durham Rd 30 Uxbridge ON L4A 7X4,23-Sep-19,Restaurant
Great Canadian Bagel,19-105 Bayly St W Ajax ON L1S 7K7,29-Oct-20,Restaurant
Greek Tycoon Restaurant,1101 Brock St S Whitby ON L1N 4M1,07-Nov-19,Restaurant
Greek Zone,280 Rossland Rd E Ajax ON L1Z 0K4,09-Sep-19,Restaurant
Greenbank Restaurant,19990 Highway 12 Greenbank ON L0C 1B0,22-Nov-19,Restaurant
Gryphon Pub,105-114 Dundas St E Whitby ON L1N 2H7,22-Oct-20,Restaurant
Hai Thai & Vietnamese Cuisine,3-701 Dundas St W Whitby ON L1N 2N3,19-Aug-20,Restaurant
Hakka Fusion,3-1670 Kingston Rd Pickering ON L1V 5R1,07-Jan-20,Restaurant
Hakka Legend Asian Cuisine,A8-A9-81 Middlecote Dr Ajax ON L1T 0K3,10-Aug-20,Restaurant
Hakka Passion,314 Harwood Ave S Ajax ON L1S 2J1,08-Feb-21,Restaurant
Hakka Pavilion Chinese Restaurant,75 Williamson Dr W Ajax ON L1T 0K9,11-Dec-19,Restaurant
Halibut House,1070 Simcoe St N Oshawa ON L1G 4W3,10-Feb-20,Restaurant
Halibut House,1820 Scugog St Port Perry ON L9L 1H8,27-Nov-20,Restaurant
Halibut House Fish & Chips,288 Bloor St W Oshawa ON L1J 1P9,17-Dec-20,Restaurant
Halibut House Fish & Chips,118-2377 Highway 2 Bowmanville ON L1C 5A3,19-Feb-20,Restaurant
Halibut House Fish & Chips,1559 Victora St E Whitby ON L1N 9M4,17-Sep-20,Restaurant
Halibut House Fish & Chips,408 King St W Oshawa ON L1J 2K8,05-Aug-20,Restaurant
Halibut House Fish & Chips,106/107-4 Banff Rd Uxbridge ON L9P 1S9,22-Jan-20,Restaurant
Halibut House Fish & Chips,B1-B2-1101 Kingston Rd Pickering ON L1V 1B5,20-Jan-20,Restaurant
Halibut House Fish & Chips Inc.,11 & 12-85 Kingston Rd E Ajax ON L1S 7J4,18-Feb-20,Restaurant
Halibut King Fish & Chips,12-1123 Dundas St E Whitby ON L1N 2K4,28-Sep-20,Restaurant
Halibut Time,6-1645 Dundas Street East Whitby ON L1N 2K9,10-Mar-20,Restaurant
Halibut Time Fish & Chips,16-15 Westney Rd N Ajax ON L1T 1P5,23-Jan-20,Restaurant
Halibut Town Fish & Chips And Grill House,24 Simcoe St N Oshawa ON L1H 8C1,26-Nov-19,Restaurant
Hank's Pastries,204 Queen St Port Perry ON L9L 1B9,10-Oct-19,Restaurant
